year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,AC,2,2874815.0,808059.94,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Good,Biens,AC,2,178212.3,42013.4,Canada Border Services Agency,Agence des services frontaliers du Canada
2017,Construction,Construction,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,TC,191,70214125.68,894724.85,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,TC,111,37276212.73,1079314.17,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,TC,1,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,TN,96,21584206.33,313571.95,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,TN,53,3402229.32,1309302.45,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,TN,5,82142.89,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,OB,198,64495757.01,20312502.31,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,OB,228,17508661.18,4231311.74,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,OB,1,18423.21,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,AC,1,50903.62,107278.68,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Service,Services,TN,114,8630311.07,635902.34,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Good,Biens,TN,69,9952145.24,469287.20,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Construction,Construction,TN,1,91768.07,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Service,Services,OB,203,91570269.25,2762410.64,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Good,Biens,OB,211,15902591.37,731782.81,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Construction,Construction,OB,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Service,Services,TC,135,30600233.83,1799789.09,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Good,Biens,TC,49,2785758.02,90043.52,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Construction,Construction,TC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Service,Services,AC,3,2682424.15,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Good,Biens,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2021,Construction,Construction,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,TC,16,584076.91,24895.90,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Good,Biens,TC,12,451724.83,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
